date,prayer,meditation,mindfulness,manifestation,chakras,rep
2006-09-01,49.0,11.0,1.0,1.0,1.0,2.0
2006-10-01,48.0,12.0,1.0,1.0,1.0,2.0
2006-11-01,49.0,11.0,1.0,1.0,1.0,2.0
2006-12-01,44.0,11.0,1.0,1.0,1.0,2.0
2007-01-01,44.0,13.0,1.0,1.0,1.0,2.0
2007-02-01,44.0,12.0,1.0,1.0,1.0,2.0
2007-03-01,43.0,11.0,1.0,1.0,1.0,2.0
2007-04-01,48.0,11.0,1.0,1.0,1.0,2.0
2007-05-01,49.0,11.0,1.0,1.0,1.0,2.0
2007-06-01,39.0,10.0,1.0,1.0,1.0,2.0
2007-07-01,40.0,11.0,1.0,0.0,1.0,2.0
2007-08-01,42.0,12.0,1.0,0.0,1.0,2.0
2007-09-01,50.0,11.0,1.0,1.0,1.0,2.0
2007-10-01,46.0,13.0,1.0,1.0,1.0,2.0
2007-11-01,52.0,12.0,1.0,1.0,1.0,2.0
2007-12-01,45.0,12.0,1.0,1.0,1.0,2.0
2008-01-01,45.0,13.0,1.0,1.0,1.0,2.0
2008-02-01,46.0,15.0,1.0,1.0,1.0,2.0
2008-03-01,46.0,13.0,1.0,1.0,1.0,2.0
2008-04-01,51.0,12.0,1.0,1.0,1.0,2.0
2008-05-01,46.0,11.0,1.0,1.0,1.0,2.0
2008-06-01,40.0,10.0,1.0,1.0,1.0,2.0
2008-07-01,41.0,11.0,1.0,1.0,1.0,2.0
2008-08-01,41.0,10.0,1.0,1.0,1.0,2.0
2008-09-01,49.0,11.0,1.0,1.0,1.0,2.0
2008-10-01,47.0,12.0,1.0,1.0,1.0,2.0
2008-11-01,53.0,12.0,1.0,1.0,1.0,2.0
2008-12-01,46.0,11.0,1.0,1.0,1.0,2.0
2009-01-01,51.0,12.0,1.0,1.0,1.0,2.0
2009-02-01,47.0,12.0,1.0,1.0,1.0,2.0
2009-03-01,47.0,12.0,1.0,1.0,1.0,2.0
2009-04-01,46.0,13.0,1.0,1.0,2.0,2.0
2009-05-01,50.0,13.0,1.0,1.0,2.0,2.0
2009-06-01,42.0,11.0,1.0,1.0,2.0,2.0
2009-07-01,41.0,10.0,1.0,1.0,2.0,2.0
2009-08-01,46.0,11.0,1.0,1.0,1.0,2.0
2009-09-01,52.0,12.0,1.0,1.0,2.0,2.0
2009-10-01,47.0,12.0,1.0,1.0,2.0,2.0
2009-11-01,54.0,13.0,1.0,1.0,2.0,2.0
2009-12-01,46.0,11.0,1.0,1.0,1.0,2.0
2010-01-01,47.0,13.0,1.0,1.0,2.0,2.0
2010-02-01,48.0,13.0,1.0,1.0,2.0,2.0
2010-03-01,50.0,13.0,1.0,1.0,2.0,2.0
2010-04-01,62.0,13.0,1.0,1.0,2.0,2.0
2010-05-01,55.0,12.0,1.0,1.0,2.0,2.0
2010-06-01,43.0,11.0,1.0,1.0,2.0,2.0
2010-07-01,42.0,12.0,1.0,1.0,2.0,2.0
2010-08-01,50.0,12.0,1.0,1.0,2.0,2.0
2010-09-01,48.0,12.0,1.0,1.0,1.0,2.0
2010-10-01,48.0,12.0,1.0,1.0,1.0,2.0
2010-11-01,51.0,12.0,1.0,1.0,2.0,2.0
2010-12-01,47.0,11.0,1.0,1.0,1.0,2.0
2011-01-01,53.0,15.0,2.0,1.0,1.0,2.0
2011-02-01,52.0,15.0,2.0,1.0,1.0,2.0
2011-03-01,55.0,15.0,2.0,1.0,1.0,2.0
2011-04-01,54.0,14.0,2.0,1.0,1.0,2.0
2011-05-01,56.0,13.0,2.0,1.0,1.0,2.0
2011-06-01,48.0,12.0,1.0,1.0,1.0,2.0
2011-07-01,52.0,13.0,1.0,1.0,1.0,2.0
2011-08-01,59.0,13.0,1.0,1.0,1.0,2.0
2011-09-01,52.0,14.0,2.0,1.0,1.0,2.0
2011-10-01,53.0,14.0,2.0,1.0,1.0,2.0
2011-11-01,55.0,14.0,2.0,1.0,1.0,2.0
2011-12-01,53.0,13.0,1.0,1.0,1.0,2.0
2012-01-01,53.0,15.0,2.0,1.0,1.0,2.0
2012-02-01,56.0,15.0,2.0,1.0,1.0,2.0
2012-03-01,54.0,15.0,2.0,1.0,1.0,2.0
2012-04-01,54.0,16.0,2.0,1.0,1.0,2.0
2012-05-01,57.0,13.0,2.0,1.0,1.0,2.0
2012-06-01,47.0,13.0,2.0,1.0,1.0,2.0
2012-07-01,52.0,14.0,2.0,1.0,1.0,2.0
2012-08-01,57.0,14.0,2.0,1.0,2.0,2.0
2012-09-01,55.0,14.0,2.0,1.0,1.0,2.0
2012-10-01,50.0,15.0,2.0,1.0,1.0,2.0
2012-11-01,54.0,15.0,2.0,1.0,2.0,2.0
2012-12-01,57.0,16.0,2.0,1.0,1.0,2.0
2013-01-01,50.0,16.0,2.0,1.0,2.0,2.0
2013-02-01,54.0,17.0,2.0,1.0,2.0,2.0
2013-03-01,58.0,17.0,2.0,1.0,2.0,2.0
2013-04-01,52.0,16.0,2.0,1.0,2.0,2.0
2013-05-01,54.0,15.0,2.0,1.0,2.0,2.0
2013-06-01,48.0,15.0,2.0,1.0,2.0,2.0
2013-07-01,54.0,16.0,2.0,1.0,2.0,2.0
2013-08-01,52.0,18.0,2.0,1.0,2.0,2.0
2013-09-01,53.0,18.0,2.0,1.0,2.0,2.0
2013-10-01,52.0,17.0,2.0,1.0,2.0,2.0
2013-11-01,56.0,18.0,2.0,1.0,2.0,2.0
2013-12-01,49.0,16.0,2.0,1.0,2.0,2.0
2014-01-01,51.0,19.0,3.0,1.0,2.0,2.0
2014-02-01,52.0,18.0,3.0,1.0,2.0,2.0
2014-03-01,52.0,19.0,3.0,1.0,2.0,2.0
2014-04-01,55.0,19.0,3.0,1.0,2.0,2.0
2014-05-01,55.0,19.0,3.0,1.0,2.0,2.0
2014-06-01,51.0,18.0,2.0,1.0,2.0,2.0
2014-07-01,54.0,18.0,2.0,1.0,2.0,2.0
2014-08-01,52.0,18.0,2.0,1.0,2.0,2.0
2014-09-01,54.0,18.0,3.0,1.0,2.0,2.0
2014-10-01,52.0,18.0,3.0,1.0,2.0,2.0
2014-11-01,57.0,19.0,3.0,1.0,2.0,2.0
2014-12-01,54.0,18.0,4.0,1.0,2.0,2.0
2015-01-01,53.0,21.0,3.0,1.0,2.0,2.0
2015-02-01,56.0,20.0,4.0,1.0,2.0,2.0
2015-03-01,56.0,21.0,4.0,1.0,2.0,2.0
2015-04-01,56.0,19.0,4.0,1.0,2.0,2.0
2015-05-01,54.0,18.0,3.0,1.0,2.0,2.0
2015-06-01,56.0,18.0,3.0,1.0,2.0,2.0
2015-07-01,53.0,19.0,3.0,1.0,2.0,2.0
2015-08-01,55.0,19.0,3.0,1.0,2.0,2.0
2015-09-01,63.0,20.0,5.0,1.0,2.0,2.0
2015-10-01,55.0,20.0,4.0,1.0,2.0,2.0
2015-11-01,57.0,21.0,4.0,1.0,2.0,2.0
2015-12-01,58.0,20.0,3.0,1.0,2.0,2.0
2016-01-01,60.0,23.0,4.0,1.0,2.0,2.0
2016-02-01,59.0,22.0,4.0,1.0,2.0,2.0
2016-03-01,61.0,22.0,4.0,1.0,2.0,2.0
2016-04-01,61.0,22.0,4.0,1.0,2.0,2.0
2016-05-01,63.0,21.0,4.0,1.0,2.0,2.0
2016-06-01,61.0,19.0,3.0,1.0,2.0,2.0
2016-07-01,61.0,20.0,3.0,1.0,2.0,2.0
2016-08-01,57.0,19.0,3.0,1.0,2.0,2.0
2016-09-01,63.0,21.0,4.0,1.0,2.0,2.0
2016-10-01,57.0,20.0,4.0,1.0,2.0,2.0
2016-11-01,60.0,21.0,4.0,1.0,2.0,2.0
2016-12-01,53.0,19.0,3.0,1.0,2.0,2.0
2017-01-01,64.0,23.0,4.0,1.0,2.0,2.0
2017-02-01,64.0,22.0,4.0,1.0,2.0,2.0
2017-03-01,58.0,22.0,4.0,1.0,2.0,2.0
2017-04-01,59.0,22.0,4.0,1.0,2.0,2.0
2017-05-01,67.0,21.0,4.0,1.0,2.0,2.0
2017-06-01,59.0,20.0,3.0,1.0,2.0,2.0
2017-07-01,53.0,22.0,3.0,1.0,2.0,2.0
2017-08-01,60.0,22.0,4.0,1.0,2.0,2.0
2017-09-01,62.0,21.0,4.0,1.0,2.0,2.0
2017-10-01,55.0,22.0,4.0,1.0,2.0,2.0
2017-11-01,60.0,22.0,4.0,1.0,2.0,2.0
2017-12-01,59.0,20.0,4.0,1.0,2.0,2.0
2018-01-01,59.0,25.0,5.0,1.0,2.0,2.0
2018-02-01,60.0,24.0,5.0,1.0,3.0,2.0
2018-03-01,61.0,24.0,4.0,1.0,2.0,2.0
2018-04-01,60.0,24.0,5.0,1.0,2.0,2.0
2018-05-01,64.0,21.0,4.0,1.0,2.0,2.0
2018-06-01,57.0,22.0,4.0,1.0,2.0,2.0
2018-07-01,58.0,23.0,3.0,1.0,2.0,2.0
2018-08-01,60.0,24.0,4.0,1.0,2.0,2.0
2018-09-01,61.0,23.0,4.0,1.0,2.0,2.0
2018-10-01,59.0,23.0,5.0,2.0,2.0,2.0
2018-11-01,59.0,21.0,4.0,2.0,2.0,2.0
2018-12-01,60.0,22.0,4.0,1.0,2.0,2.0
2019-01-01,60.0,24.0,4.0,2.0,2.0,2.0
2019-02-01,60.0,23.0,5.0,2.0,2.0,2.0
2019-03-01,61.0,24.0,5.0,1.0,2.0,2.0
2019-04-01,65.0,24.0,4.0,2.0,2.0,2.0
2019-05-01,70.0,23.0,4.0,1.0,2.0,2.0
2019-06-01,60.0,22.0,3.0,1.0,2.0,2.0
2019-07-01,54.0,22.0,4.0,1.0,2.0,2.0
2019-08-01,61.0,23.0,4.0,1.0,2.0,2.0
2019-09-01,60.0,24.0,5.0,2.0,2.0,2.0
2019-10-01,62.0,24.0,5.0,2.0,2.0,2.0
2019-11-01,60.0,23.0,4.0,2.0,2.0,2.0
2019-12-01,57.0,22.0,4.0,2.0,2.0,2.0
2020-01-01,63.0,25.0,5.0,2.0,2.0,2.0
2020-02-01,62.0,24.0,5.0,2.0,2.0,2.0
2020-03-01,76.0,23.0,4.0,2.0,2.0,2.0
2020-04-01,84.0,27.0,5.0,2.0,2.0,2.0
2020-05-01,75.0,25.0,5.0,2.0,3.0,2.0
2020-06-01,64.0,23.0,4.0,4.0,3.0,2.0
2020-07-01,61.0,22.0,4.0,6.0,3.0,2.0
2020-08-01,67.0,23.0,4.0,4.0,3.0,2.0
2020-09-01,72.0,23.0,6.0,3.0,3.0,2.0
2020-10-01,66.0,22.0,4.0,3.0,3.0,2.0
2020-11-01,67.0,19.0,3.0,3.0,2.0,2.0
2020-12-01,70.0,22.0,3.0,3.0,3.0,2.0
2021-01-01,69.0,25.0,4.0,3.0,3.0,2.0
2021-02-01,64.0,23.0,4.0,3.0,3.0,2.0
2021-03-01,63.0,21.0,3.0,3.0,3.0,2.0
2021-04-01,73.0,22.0,4.0,3.0,2.0,2.0
2021-05-01,69.0,21.0,3.0,3.0,2.0,2.0
2021-06-01,56.0,20.0,3.0,3.0,2.0,2.0
2021-07-01,57.0,20.0,3.0,3.0,2.0,2.0
2021-08-01,64.0,20.0,3.0,3.0,2.0,2.0
2021-09-01,64.0,21.0,3.0,3.0,2.0,2.0
2021-10-01,62.0,20.0,4.0,3.0,2.0,2.0
2021-11-01,72.0,20.0,3.0,3.0,2.0,2.0
2021-12-01,66.0,20.0,3.0,3.0,2.0,2.0
2022-01-01,67.0,23.0,4.0,3.0,2.0,2.0
2022-02-01,65.0,22.0,4.0,4.0,2.0,2.0
2022-03-01,70.0,23.0,4.0,3.0,2.0,2.0
2022-04-01,76.0,21.0,4.0,3.0,2.0,2.0
2022-05-01,66.0,20.0,4.0,3.0,2.0,2.0
2022-06-01,62.0,19.0,3.0,3.0,2.0,2.0
2022-07-01,64.0,20.0,3.0,3.0,2.0,2.0
2022-08-01,67.0,20.0,4.0,3.0,2.0,2.0
2022-09-01,65.0,22.0,4.0,3.0,2.0,2.0
2022-10-01,66.0,20.0,4.0,3.0,2.0,2.0
2022-11-01,71.0,20.0,4.0,3.0,2.0,2.0
2022-12-01,69.0,20.0,4.0,3.0,2.0,2.0
2023-01-01,73.0,23.0,4.0,4.0,2.0,2.0
2023-02-01,73.0,23.0,4.0,4.0,2.0,2.0
2023-03-01,86.0,21.0,4.0,3.0,2.0,2.0
2023-04-01,90.0,20.0,4.0,3.0,2.0,2.0
2023-05-01,78.0,20.0,4.0,3.0,2.0,2.0
2023-06-01,75.0,19.0,3.0,3.0,2.0,2.0
2023-07-01,70.0,19.0,3.0,3.0,2.0,2.0
2023-08-01,71.0,19.0,3.0,3.0,2.0,2.0
2023-09-01,74.0,20.0,4.0,3.0,2.0,2.0
2023-10-01,77.0,19.0,4.0,3.0,1.0,2.0
2023-11-01,77.0,18.0,4.0,3.0,1.0,2.0
2023-12-01,78.0,18.0,4.0,3.0,2.0,2.0
2024-01-01,78.0,20.0,4.0,3.0,2.0,2.0
2024-02-01,71.0,19.0,4.0,3.0,2.0,2.0
2024-03-01,94.0,20.0,4.0,3.0,1.0,2.0
2024-04-01,79.0,18.0,4.0,3.0,2.0,2.0
2024-05-01,72.0,17.0,3.0,3.0,1.0,2.0
2024-06-01,65.0,15.0,3.0,2.0,1.0,2.0
2024-07-01,66.0,16.0,3.0,2.0,1.0,2.0
2024-08-01,74.0,17.0,3.0,3.0,1.0,2.0
2024-09-01,71.0,16.0,4.0,3.0,1.0,2.0
2024-10-01,73.0,16.0,4.0,3.0,1.0,2.0
2024-11-01,77.0,16.0,4.0,3.0,1.0,2.0
2024-12-01,74.0,16.0,4.0,3.0,1.0,2.0
2025-01-01,83.0,17.0,4.0,3.0,1.0,2.0
2025-02-01,75.0,18.0,4.0,3.0,1.0,2.0
2025-03-01,100.0,17.0,4.0,3.0,1.0,2.0
2025-04-01,78.0,17.0,4.0,3.0,1.0,2.0
2025-05-01,74.0,15.0,3.0,3.0,1.0,2.0
2025-06-01,72.0,16.0,3.0,2.0,1.0,2.0
2025-07-01,80.0,20.0,5.0,3.0,1.0,2.0
2025-08-01,80.0,16.0,4.0,3.0,1.0,2.0
2025-09-01,87.0,16.0,4.0,3.0,1.0,2.0
2025-10-01,81.0,16.0,4.0,3.0,1.0,2.0
2025-11-01,81.0,15.0,5.0,3.0,1.0,2.0
2025-12-01,82.0,17.0,5.0,3.0,1.0,2.0
2026-01-01,82.0,19.0,8.0,3.0,1.0,2.0
2026-02-01,98.0,27.0,17.0,4.0,1.0,2.0
2026-03-01,98.0,19.0,8.0,3.0,1.0,2.0
2026-04-01,86.0,22.0,8.0,3.0,1.0,2.0
2026-05-01,83.0,27.0,9.0,3.0,1.0,2.0
2026-06-01,72.0,29.0,14.0,4.0,1.0,2.0
2026-07-01,71.0,30.0,7.0,3.0,1.0,2.0
