date,prayer,meditation,mindfulness,manifestation,chakras
2014-01-01,49,19,3,1,2
2014-02-01,49,18,3,1,2
2014-03-01,51,19,3,1,2
2014-04-01,53,19,3,1,2
2014-05-01,54,19,3,1,2
2014-06-01,49,17,2,1,2
2014-07-01,53,18,2,1,2
2014-08-01,51,18,2,1,2
2014-09-01,53,17,3,1,2
2014-10-01,50,18,3,1,2
2014-11-01,54,18,3,1,2
2014-12-01,52,18,4,1,2
2015-01-01,53,21,3,1,2
2015-02-01,54,20,3,1,2
2015-03-01,54,21,4,1,2
2015-04-01,57,19,4,1,2
2015-05-01,53,18,3,1,2
2015-06-01,53,17,3,1,2
2015-07-01,50,19,3,1,2
2015-08-01,54,19,3,1,2
2015-09-01,61,19,5,1,2
2015-10-01,53,19,4,1,2
2015-11-01,54,20,4,1,2
2015-12-01,54,19,3,1,2
2016-01-01,59,22,4,1,2
2016-02-01,56,21,4,1,2
2016-03-01,60,21,4,1,2
2016-04-01,59,21,4,1,2
2016-05-01,60,20,3,1,2
2016-06-01,61,18,3,1,2
2016-07-01,58,19,3,1,2
2016-08-01,54,19,3,1,2
2016-09-01,59,20,4,1,2
2016-10-01,58,20,4,1,2
2016-11-01,57,21,4,1,2
2016-12-01,54,19,3,1,2
2017-01-01,61,22,4,1,2
2017-02-01,62,22,4,1,2
2017-03-01,57,21,4,1,2
2017-04-01,59,21,4,1,2
2017-05-01,62,21,4,1,2
2017-06-01,57,19,3,1,2
2017-07-01,51,22,3,1,2
2017-08-01,58,21,4,1,2
2017-09-01,58,21,4,1,2
2017-10-01,54,21,4,1,2
2017-11-01,55,21,4,1,2
2017-12-01,57,19,3,1,2
2018-01-01,56,24,4,1,2
2018-02-01,57,24,5,1,2
2018-03-01,59,24,4,1,2
2018-04-01,57,24,5,1,2
2018-05-01,62,21,4,1,2
2018-06-01,58,21,4,1,2
2018-07-01,55,23,3,1,2
2018-08-01,63,23,4,1,2
2018-09-01,59,23,4,1,2
2018-10-01,58,22,5,1,2
2018-11-01,59,21,4,2,2
2018-12-01,60,22,4,1,2
2019-01-01,59,23,4,1,2
2019-02-01,57,23,4,2,2
2019-03-01,62,23,4,1,2
2019-04-01,63,23,4,2,2
2019-05-01,65,22,4,1,2
2019-06-01,59,21,3,1,2
2019-07-01,52,21,4,1,2
2019-08-01,59,22,4,1,2
2019-09-01,58,23,5,2,2
2019-10-01,59,23,5,2,2
2019-11-01,60,22,4,2,2
2019-12-01,57,21,4,2,2
2020-01-01,60,25,4,2,2
2020-02-01,60,24,5,2,2
2020-03-01,73,22,4,1,2
2020-04-01,80,27,5,2,2
2020-05-01,70,24,4,2,3
2020-06-01,61,22,4,4,3
2020-07-01,60,21,4,6,3
2020-08-01,65,23,4,4,3
2020-09-01,70,22,5,3,3
2020-10-01,65,22,4,3,3
2020-11-01,66,18,3,3,2
2020-12-01,66,21,3,3,3
2021-01-01,69,24,4,3,3
2021-02-01,62,22,4,3,3
2021-03-01,61,20,3,3,2
2021-04-01,71,21,4,3,2
2021-05-01,65,20,3,3,2
2021-06-01,56,20,3,3,2
2021-07-01,59,19,3,3,2
2021-08-01,60,19,3,3,2
2021-09-01,61,20,3,3,2
2021-10-01,59,19,3,3,2
2021-11-01,66,20,3,3,2
2021-12-01,60,19,3,2,2
2022-01-01,64,22,4,3,2
2022-02-01,66,21,4,4,2
2022-03-01,68,22,4,3,2
2022-04-01,72,20,4,3,2
2022-05-01,65,20,4,3,2
2022-06-01,62,19,3,3,2
2022-07-01,61,19,3,3,2
2022-08-01,67,20,4,3,2
2022-09-01,63,21,4,3,2
2022-10-01,65,19,4,3,2
2022-11-01,69,20,4,3,2
2022-12-01,65,20,3,3,2
2023-01-01,73,22,4,4,2
2023-02-01,70,22,4,3,2
2023-03-01,85,21,4,3,2
2023-04-01,84,19,4,3,2
2023-05-01,78,19,4,3,2
2023-06-01,71,19,3,3,2
2023-07-01,68,18,3,3,2
2023-08-01,70,18,3,3,2
2023-09-01,72,19,4,3,2
2023-10-01,75,19,4,3,1
2023-11-01,76,18,4,3,1
2023-12-01,74,17,3,3,2
2024-01-01,75,19,4,3,2
2024-02-01,69,19,4,3,2
2024-03-01,96,20,4,3,1
2024-04-01,76,18,4,3,2
2024-05-01,66,17,3,2,1
2024-06-01,66,15,3,2,1
2024-07-01,64,16,3,2,1
2024-08-01,66,16,3,3,1
2024-09-01,69,16,4,3,1
2024-10-01,70,16,4,3,1
2024-11-01,76,16,4,3,1
2024-12-01,73,15,4,3,1
2025-01-01,80,17,4,3,1
2025-02-01,73,17,4,3,1
2025-03-01,97,16,4,3,1
2025-04-01,76,16,4,3,1
2025-05-01,70,15,3,2,1
2025-06-01,70,16,3,2,1
2025-07-01,78,19,5,3,1
2025-08-01,74,16,3,3,1
2025-09-01,82,16,4,3,1
2025-10-01,77,16,4,3,1
2025-11-01,78,15,5,3,1
2025-12-01,78,16,5,3,1
2026-01-01,82,19,8,3,1
2026-02-01,100,27,17,4,1
2026-03-01,94,19,7,3,1
2026-04-01,84,21,8,3,1
2026-05-01,79,26,9,3,1
2026-06-01,73,29,14,4,1
2026-07-01,68,32,7,3,1
